car_ID,gas,turbo,four.door,front.engine,wheelbase,carlength,carwidth,carheight,enginesize,horsepower,peakrpm,citympg,highwaympg,price
187,Yes,No,Yes,Yes,97.3,171.7,65.5,55.7,109,85,5250,27,34,8495
188,No,Yes,Yes,Yes,97.3,171.7,65.5,55.7,97,68,4500,37,42,9495
189,Yes,No,Yes,Yes,97.3,171.7,65.5,55.7,109,100,5500,26,32,9995
190,Yes,No,No,Yes,94.5,159.3,64.2,55.6,109,90,5500,24,29,11595
191,Yes,No,No,Yes,94.5,165.7,64,51.4,109,90,5500,24,29,9980
192,Yes,No,Yes,Yes,100.4,180.2,66.9,55.1,136,110,5500,19,24,13295
193,No,Yes,Yes,Yes,100.4,180.2,66.9,55.1,97,68,4500,33,38,13845
194,Yes,No,Yes,Yes,100.4,183.1,66.9,55.1,109,88,5500,25,31,12290
195,Yes,No,Yes,Yes,104.3,188.8,67.2,56.2,141,114,5400,23,28,12940
196,Yes,No,Yes,Yes,104.3,188.8,67.2,57.5,141,114,5400,23,28,13415
197,Yes,No,Yes,Yes,104.3,188.8,67.2,56.2,141,114,5400,24,28,15985
198,Yes,No,Yes,Yes,104.3,188.8,67.2,57.5,141,114,5400,24,28,16515
199,Yes,Yes,Yes,Yes,104.3,188.8,67.2,56.2,130,162,5100,17,22,18420
200,Yes,Yes,Yes,Yes,104.3,188.8,67.2,57.5,130,162,5100,17,22,18950
201,Yes,No,Yes,Yes,109.1,188.8,68.9,55.5,141,114,5400,23,28,16845
202,Yes,Yes,Yes,Yes,109.1,188.8,68.8,55.5,141,160,5300,19,25,19045
203,Yes,No,Yes,Yes,109.1,188.8,68.9,55.5,173,134,5500,18,23,21485
204,No,Yes,Yes,Yes,109.1,188.8,68.9,55.5,145,106,4800,26,27,22470
205,Yes,Yes,Yes,Yes,109.1,188.8,68.9,55.5,141,114,5400,19,25,22625
